ProcessingStatus,Match OpenPermID,Match OrgName,Match Score,Match Level,Match Ordinal,Original Row Number,Input_LocalID,Input_Standard Identifier,Input_Name,Input_Country,Input_Street,Input_City,Input_PostalCode,Input_State,Input_Website
OK,,,,No Match,,242,,,holding d infrastructures de transport sas,,,,,,
OK,,,,No Match,,243,,,holding dinfrastr de transp,,,,,,
OK,https://permid.org/1-5000919963,Hldg Dinfrastructure De Transport Sas,32%,Possible,1,244,,,holding dinfrastructure,,,,,,
OK,https://permid.org/1-4297231408,Iberdrola Finanzas SA,92%,Excellent,1,245,,,iberdrola finanzas sau,,,,,,
OK,https://permid.org/1-5050277472,Iberdrola International Finance BV,53%,Possible,1,246,,,iberdrola international bv,,,,,,
OK,https://permid.org/1-5000609627,Ignitis Grupe AB,89%,Good,1,247,,,ignitis grupe uab,,,,,,
OK,https://permid.org/1-4295859001,Immofinanz AG,92%,Excellent,1,248,,,immofinanz ag,,,,,,
OK,https://permid.org/1-5074840315,Imperial Brands Finance Netherlands BV,92%,Excellent,1,249,,,imperial brands finance netherlands bv,,,,,,
OK,https://permid.org/1-4295870063,Infineon Technologies AG,92%,Excellent,1,250,,,infineon technologies ag,,,,,,
OK,https://permid.org/1-5050701816,DG Infra+ Park Invest BV,19%,Possible,1,251,,,infra park,,,,,,
OK,https://permid.org/1-5045517782,Infrastrutture Wireless Italiane SpA,92%,Excellent,1,252,,,infrastrutture wireless italiane spa,,,,,,
OK,https://permid.org/1-5037937293,Infrax CVBA,92%,Excellent,1,253,,,infrax cvba,,,,,,
OK,https://permid.org/1-4295889320,Inmobiliaria Colonial SOCIMI SA,92%,Excellent,1,254,,,inmobiliaria colonial socimi sa,,,,,,
OK,https://permid.org/1-4296653814,innogy Finance BV,92%,Excellent,1,255,,,innogy finance bv,,,,,,
